"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8186318,"Overcomer","Overcomer","Sport",119,2019,"en",7
8188610,"F2: Fun and Frustration","F2: Fun and Frustration","Comedy",148,2019,"en",6
8191620,"Ravage","Swing Low","Horror",84,2019,"en",5
8191620,"Ravage","Swing Low","Thriller",84,2019,"en",5
8193626,"Elephants Can Play Football","Slony mogut igrat v futbol","Drama",106,2018,"en",7
8193790,"Deerskin","Le daim","Comedy",77,2019,"en",7
8193790,"Deerskin","Le daim","Horror",77,2019,"en",7
8194038,"Golden Mouth","Boca de Ouro","Drama",93,2019,"en",6
8195518,"Cuck","Cuck","Drama",115,2019,"en",4
8195518,"Cuck","Cuck","Thriller",115,2019,"en",4
8195518,"Cuck","Cuck","Crime",115,2019,"en",4
8196026,"522. A Cat, a Chinese Guy and My Father","522. Un gato, un chino y mi padre","Drama",94,2019,"en",6
8196068,"Twisted Pair","Twisted Pair","Drama",89,2018,"en",6
8196068,"Twisted Pair","Twisted Pair","Fantasy",89,2018,"en",6
8196068,"Twisted Pair","Twisted Pair","Sci",89,2018,"en",6
8196068,"Twisted Pair","Twisted Pair","Fi",89,2018,"en",6
8196692,"Soul Hunters","Soul Hunters","Thriller",101,2019,"en",5
8196692,"Soul Hunters","Soul Hunters","Action",101,2019,"en",5
8197058,"The Last of the Manson Girls","The Last of the Manson Girls","Drama",73,2018,"en",5
8197058,"The Last of the Manson Girls","The Last of the Manson Girls","Comedy",73,2018,"en",5
8197058,"The Last of the Manson Girls","The Last of the Manson Girls","History",73,2018,"en",5
8197644,"Psychosia","Psychosia","Drama",87,2019,"en",6
8200742,"Silhouette","Silhouette","Drama",114,2019,"en",5
8200742,"Silhouette","Silhouette","Horror",114,2019,"en",5
8200742,"Silhouette","Silhouette","Thriller",114,2019,"en",5
8201170,"The Perfect Date","The Perfect Date","Comedy",89,2019,"en",6
8201170,"The Perfect Date","The Perfect Date","Romance",89,2019,"en",6
8201404,"Little White Lies 2","Nous finirons ensemble","Drama",134,2019,"en",6
8201404,"Little White Lies 2","Nous finirons ensemble","Comedy",134,2019,"en",6
8201404,"Little White Lies 2","Nous finirons ensemble","Family",134,2019,"en",6
8201852,"You Should Have Left","You Should Have Left","Drama",93,2020,"en",5
8201852,"You Should Have Left","You Should Have Left","Horror",93,2020,"en",5
8201852,"You Should Have Left","You Should Have Left","Mystery",93,2020,"en",5
8202262,"Justine","Justine","Drama",106,2019,"en",7
8202612,"Satyameva Jayate","Satyameva Jayate","Drama",140,2018,"en",6
8202612,"Satyameva Jayate","Satyameva Jayate","Crime",140,2018,"en",6
8202612,"Satyameva Jayate","Satyameva Jayate","Action",140,2018,"en",6
8205656,"U311 Cherkasy","Cherkasy","Drama",102,2019,"en",7
8205656,"U311 Cherkasy","Cherkasy","History",102,2019,"en",7
8205656,"U311 Cherkasy","Cherkasy","War",102,2019,"en",7
8206646,"Eclipse: The Rise of Ink","Eclipse: The Rise of Ink","Adventure",81,2018,"en",4
8206646,"Eclipse: The Rise of Ink","Eclipse: The Rise of Ink","Action",81,2018,"en",4
8206646,"Eclipse: The Rise of Ink","Eclipse: The Rise of Ink","Sci",81,2018,"en",4
8206646,"Eclipse: The Rise of Ink","Eclipse: The Rise of Ink","Fi",81,2018,"en",4
8206668,"Bad Education","Bad Education","Comedy",108,2019,"en",7
8206668,"Bad Education","Bad Education","Biography",108,2019,"en",7
8206668,"Bad Education","Bad Education","Crime",108,2019,"en",7
8206708,"Carry On Jatta 2","Carry on Jatta 2","Comedy",149,2018,"en",7
8206760,"Jhootha Kahin Ka","Jhootha Kahin Ka","Comedy",133,2019,"en",5
8206880,"Root of the Problem","Root of the Problem","Drama",95,2019,"en",8
8206950,"Wolfman's Got Nards","Wolfman's Got Nards","Horror",91,2018,"en",7
8206950,"Wolfman's Got Nards","Wolfman's Got Nards","Documentary",91,2018,"en",7
8207768,"Mere Pyare Prime Minister","Mere Pyare Prime Minister","Drama",104,2018,"en",7
8208098,"Pyaar Prema Kaadhal","Pyaar Prema Kaadhal","Drama",145,2018,"en",7
8208098,"Pyaar Prema Kaadhal","Pyaar Prema Kaadhal","Musical",145,2018,"en",7
8208098,"Pyaar Prema Kaadhal","Pyaar Prema Kaadhal","Romance",145,2018,"en",7
8208102,"Zhagaram","Zhagaram","Thriller",113,2019,"en",5
8208102,"Zhagaram","Zhagaram","Adventure",113,2019,"en",5
